MA_1_1,MA_1_2,MA_1_3,MA_1_4,MA_1_5,MA_1_6,MA_1_7,MA_1_8,MA_1_9,MA_1_10,MA_1_11,MA_2_1,MA_2_2,MA_2_3,MA_2_4,MA_2_5,MA_2_6,MA_2_7,MA_2_8,MA_2_9,MA_2_10,MA_2_11,GA_1,GA_2,GA_3,GA_4,GA_5,GA_6,GA_7,Age,Employment_1,Employment_2,Employment_3,Employment_4,Teacher,Educ_Attain,Parent,child35,child618,gender,ethnicity,race,collectiontype,id,Hopko_MA_mean,CG_MA_mean,scale1to10,generalanxiety,testanxiety,Fluency_Correct,MathFluency,BerlinNumeracy,ONET___STEM,Medianhouseholdincomedollars
Low anxiety,Low anxiety,Some anxiety,Some anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,52,,,1,,No,Graduated from 4-year college,Yes,No,No,Man,Non-Hispanic/Latino,White,1,144,1.6666666667,2.5454545455,3,1,-4,22,0.3665078466,1,0,44407
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Moderate anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,31,,,1,,No,Completed graduate or professional school,Yes,No,No,Man,Non-Hispanic/Latino,Black or African American,1,674,1.1666666667,1,0,1.2857142857,-4,24,0.399960004,3,0,45473
Moderate anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Some anxiety,Quite a bit of anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Some anxiety,Some anxiety,Generally true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,"Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time",32,,,,1,No,Some college,Yes,No,No,Man,Non-Hispanic/Latino,White,1,709,2.5833333333,3.2727272727,6,2.4285714286,-2.5,15,0.2463377784,1,0,41375
Low anxiety,Some anxiety,Quite a bit of anxiety,Low anxiety,Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Low anxiety,Moderate anxiety,Quite a bit of anxiety,Generally not true of me,Not true of me at all,Not true of me at all,Not true of me at all,Somewhat true of me,Generally not true of me,Generally not true of me,Generally true of me,Generally true of me,Somewhat true of me,Somewhat true of me,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,36,,1,,1,No,Some college,No,,,Man,Non-Hispanic/Latino,White,1,449,2,2.3636363636,6,1.8571428571,-2.25,48,0.8121827411,1,0,62365
Low anxiety,Low anxiety,High anxiety,Some anxiety,Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Quite a bit of anxiety,High anxiety,High anxiety,Not true of me at all,Somewhat true of me,Not true of me at all,Somewhat true of me,Somewhat true of me,Generally true of me,Not true of me at all,Generally not true of me,Very true of me,Somewhat true of me,Somewhat true of me,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time",Did not apply to me at all,30,,,1,,No,Graduated from 4-year college,No,,,Man,Hispanic/Latino,Black or African American,1,413,2.5,2.6363636364,3,2,-3.5,18,0.2999850007,1,0,30686
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Moderate anxiety,Some anxiety,Generally not true of me,Not true of me at all,Not true of me at all,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,42,,,1,,No,Some college,Yes,No,Yes,Man,Non-Hispanic/Latino,White,1,95,1.4166666667,1.7272727273,1,1,-4,33,0.548537234,4,1,42480
Moderate anxiety,High anxiety,High anxiety,High anxiety,Quite a bit of anxiety,Quite a bit of anxiety,High anxiety,High anxiety,High anxiety,High anxiety,High anxiety,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Generally true of me,Very true of me,Very true of me,Very true of me,"Applied to me very much, or most of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me very much, or most of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time",60,,,,1,No,Attended graduate or professional school without graduating,No,,,Man,Non-Hispanic/Latino,White,1,703,4.6666666667,4.9090909091,9,3.2857142857,-1,17,0.279430619,1,0,123409
Low anxiety,Low anxiety,Quite a bit of anxiety,Quite a bit of anxiety,High anxiety,Moderate anxiety,Moderate anxiety,High anxiety,Quite a bit of anxiety,Moderate anxiety,High anxiety,Not true of me at all,Somewhat true of me,Generally not true of me,Not true of me at all,Generally true of me,Not true of me at all,Somewhat true of me,Somewhat true of me,Generally not true of me,Not true of me at all,Generally true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,61,,,,1,No,Graduated from 2-year college,Yes,No,Yes,Woman,Non-Hispanic/Latino,White,1,425,3.4166666667,2.2727272727,1,1,-3.75,32,0.5332800053,2,0,40587
Low anxiety,Some anxiety,Moderate anxiety,Low anxiety,Moderate anxiety,Low anxiety,Some anxiety,Some anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Generally not true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,48,,,1,,No,Graduated from 2-year college,No,,,Man,Non-Hispanic/Latino,White,1,494,2,2.1818181818,3,1.2857142857,-3.5,26,0.4333116677,3,0,39563
Low anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Quite a bit of anxiety,Low anxiety,Quite a bit of anxiety,Low anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Very true of me,Generally true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to a considerable degree, or a good part of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,42,,,1,,No,Completed graduate or professional school,Yes,No,Yes,Man,Non-Hispanic/Latino,White,1,121,2.3333333333,3.2727272727,6,1.2857142857,-3.5,35,0.5832847263,4,1,25709
