"","age","gender","tenth","school","MMSE1","MMSE2","MMSE3","MMSE4","MMSE5","MMSE6","MMSE7","MMSE8","MMSE9","MMSE10","MMSE11","MMSE12","MMSE13","MMSE14","MMSE15","MMSE16","MMSE17","MMSE18","MMSE19","MMSE20","MMSE21","MMSE22","MMSE23","MMSE24","MMSE25","MMSE26","MMSE27"
"535",13,"Female","Middle School",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536",16,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537",14,"Male","Middle School",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538",14,"Female","Middle School",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539",12,"Male","Middle School",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540",14,"Female","Middle School",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541",12,"Female","Middle School",4,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Never/Almost Never","Never/Almost Never","Never/Almost Never","Never/Almost Never","Strongly Agree","Strongly Agree","Not at all important","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"542",13,"Female","Middle School",2,"Agree","Disagree","Agree","Agree","Sometimes","Often","Always/Almost Always","Sometimes","Strongly Agree","Agree","Slightly Important","Strongly Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree"
"543",13,"Female","Middle School",2,"Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Often","Sometimes","Rarely","Sometimes","Strongly Agree","Agree","Not at all important","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"544",13,"Female","Middle School",2,"Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Sometimes","Sometimes","Sometimes","Rarely","Strongly Agree","Strongly Agree","Not at all important","Strongly Agree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"545",12,"Female","Middle School",2,"Agree","Agree","Agree","Disagree","Sometimes","Often","Sometimes","Sometimes","Strongly Agree","Strongly Agree","Not at all important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1841",15,"Female","High School",122,"Agree","Agree","Agree","Strongly Agree","Often","Rarely","Sometimes","Sometimes","Agree","Strongly Disagree","Very Important","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Strongly Agree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree"
"1842",15,"Male","High School",122,"Disagree","Agree","Agree","Disagree","Sometimes","Sometimes","Rarely","Sometimes","Agree","Strongly Disagree","Fairly Important","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"1843",15,"Female","High School",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1844",16,"Female","High School",94,"Agree","Agree","Agree","Disagree","Sometimes","Rarely","Sometimes","Rarely","Agree","Agree","Slightly Important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1845",16,"Male","High School",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1846",17,"Female","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1847",17,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1848",16,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1849",16,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1850",17,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1851",16,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1852",19,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1853",NA,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1854",17,"Male","High School",44,"Agree","Disagree","Strongly Agree","Agree","Sometimes","Sometimes","Often","Rarely","Agree","Agree","Fairly Important","Strongly Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly Agree","Agree","Disagree","Agree","Disagree","Strongly Agree","Disagree","Agree"
"1855",17,"Male","High School",44,"Agree","Agree","Agree","Strongly Agree","Sometimes","Sometimes","Never/Almost Never","Sometimes","Strongly Disagree","Agree","Fairly Important","Agree","Disagree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"1856",16,"Male","High School",44,"Agree","Strongly Agree","Agree","Agree","Often","Often","Often","Sometimes","Agree","Agree","Slightly Important","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree"
"1857",15,"Male","High School",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1858",18,"Male","High School",35,"Agree","Agree","Agree","Disagree","Often","Often","Sometimes","Often","Agree","Agree","Not at all important","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree"
"1859",18,"Male","High School",35,"Agree","Agree","Agree","Disagree","Sometimes","Always/Almost Always","Sometimes","Sometimes","Agree","Agree","Slightly Important","Agree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"1860",15,"Male","High School",35,"Agree","Agree","Agree","Strongly Agree","Sometimes","Sometimes","Sometimes","Sometimes","Strongly Agree","Agree","Not at all important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
